song names
Stray Kids
NCT DREAM
Xdinary Heroes
DAY6
wave to earth
Taylor Swift
(G)I-DLE
beabadoobee
ATEEZ
TWICE
SEVENTEEN
NIKI
SZA
Laufey
BTS
LUCY
NCT 127
The 1975
Kacey Musgraves
NMIXX
Paramore
LE SSERAFIM
KISS OF LIFE
THE BOYZ
aespa
Sabrina Carpenter
Harry Styles
keshi
Silica Gel
OFFICIAL HIGE DANDISM
Lauv
Phoebe Bridgers
Red Velvet
IU
HONNE
My Chemical Romance
Conan Gray
boygenius
Billie Eilish
TOMORROW X TOGETHER
ITZY
Chappell Roan
DOYOUNG
RIIZE
RM
NCT U
GOT7
Epik High
ZEROBASEONE
P1Harmony
WOODZ
CRAVITY
WEi
Joji
WONPIL
Lamp
NewJeans
Zack Tabudlo
Troye Sivan
Bruno Mars
JANNABI
grentperez
PinkPantheress
TAEYONG
JUNNY
PLAVE
The Poles
Green Day
FIFTY FIFTY
Valley
Young K
Colde
ENHYPEN
One Direction
Hozier
YOASOBI
NAYEON
Yerin Baek
Rachel Chinouriri
SOLE
george
Bruno Major
Sam Smith
Jonggeun Cho
j-hope
YOONHAN
Seungmin
EXO
Rex Orange County
Ariana Grande
5 Seconds of Summer
Agust D
CHUU
Kehlani
ROSÉ
Daniel Caesar
SHINee
Lyn Lapid
Mitski
Charli xcx
Fujii Kaze
ASTRO
The Rose
D.O.
Milena
BSS
Mr.Children
Potatoi
mxmtoon
Dept
DPR LIVE
DPR IAN
Cynthia Erivo
SE SO NEON
Joe Hisaishi
PRYVT
Kep1er
SUNGJIN
blink-182
Milledenials
MEMI
JAEHYUN
Coldplay
10CM
Lorde
V
Lizzy McAlpine
Jim Brickman
HANRORO
Sonicbrat
Lucy Dacus
World's End Girlfriend
BIBI
lovlaine
Tzvi Erez
Billlie
Sarah Kang
Meaningful Stone
Shintaro Sakamoto
Paolo Sandejas
Aimyon
King Gnu
STAYC
Luli Lee
slchld
Toro y Moi
Frank Ely
creespy
Clairo
DAY6 (Even of Day)
HYUKOH
